Brand,Price,Address,image_link-src
Toyota Camry,6.800.000 ,Cité Keur Gorgui,media/annonces/pics/59abf607c61a920eb9c81104dc7e8b21.jpeg
Hyundai Santa Fe,9.800.000 ,Dakar,media/annonces/pics/8793b0c776f6dbf8eb047ca3cdb4b4a2.jpg
Hyundai Tucson,8.300.000 ,Dakar,media/annonces/pics/15b1b6db4899c54682961b45c2d959f1.jpg
Ford Focus,3.400.000 ,Dakar,media/annonces/pics/bb65777c5ab208962a3f9fc00527682e.jpg
Toyota Corolla version sport année 2013,6.800.000 ,Dakar,media/annonces/pics/cfd001f0b3aec9afddaf9eb599080c5e.jpg
Toyota land cruiser Prado année 2011,21.300.000 ,Dakar,media/annonces/pics/83e498d575d2a657472d4a1440152c33.jpg
BMW X3 2014,10.450.000 ,Grand Yoff,media/annonces/pics/2735a2dabc3d2d4e6060222db64b973d.jpeg
Vélos tous neufs à vendre,25.000 ,Amitié,media/annonces/pics/2f2a1057c28fa1b478bb34e308b634c0.jpg
Peugeot 308,4.500.000 ,Dakar,media/annonces/pics/bf90083b09b0e0da1e04785204419731.jpg
Taxi R11,2.600.000 ,Colobane,media/annonces/pics/38b6b1d210e1a53e938f873452dc0482.jpeg
OPEL Corsa blanche,2.800.000 ,Diamniadio,media/annonces/pics/2a740358bcc2afbfbe220090b00c7d57.png
RANGE ROVER EVOQUE,15.499.000 ,Point E,media/annonces/pics/1f5aa8ae235a5ee8fd4298b0a57e9bcc.png
HYUNDAY GRANDEUR 2013,6.850.000 ,Point E,media/annonces/pics/18935698afc78792444da9a6e3a2db62.png
FORD EDGE 2015,14.000.000 ,Mermoz,media/annonces/pics/87b7ca583cc443d5c6579ddc64608862.jpeg
BMW X5 2016,22.000.000 ,Mermoz,media/annonces/pics/e1911310944b83bec14be6fbcb9c53bd.jpeg
Mitsubishi Lancer Glx 2008,1.300.000 ,Dakar,media/annonces/pics/659700ea4d9e48f0f7fc2994f9bf564b.jpg
Magesty 400 nouveau modèle,900.000 ,Castors,media/annonces/pics/947c5b02d7ebccea88725ab9ae4b9181.jpg
FORD FOCUS,5.500.000 ,Point E,media/annonces/pics/69b6e95eef74a1206bccf17f40cd6f94.jpg
NISSAN QASHQAI,5.000.000 ,Point E,media/annonces/pics/a874272e91419cc054b55568ca57d95f.jpg
KIA SORENTO,7.500.000 ,Point E,media/annonces/pics/15e79cc5ee732446812d235a32481536.jpg
LIDER TRAILER,1 ,Dakar,media/annonces/pics/c79cbba34e99c1edc0e1e3bdb9e06e23.jpg
Ford Escape Ecoboost 2013,5.500.000 ,Rufisque,media/annonces/pics/7eb97edbce8a68971e330014ec26476a.jpg
FORD EXPLORER,11.000.000 ,Point E,media/annonces/pics/6bd7c21c423d593e7c2e1fccc246df5e.jpg
NISSAN ROGUE,5.500.000 ,Point E,media/annonces/pics/a9fdba9fb96ee5d903bad09532850183.jpg
FORD FOCUS,4.500.000 ,Point E,media/annonces/pics/d8a1ef4ad9d7cbf5915447aa55c96c45.jpg
LIDER TRAILER,1 ,Dakar,media/annonces/pics/9edc6069f0447d49d6711a1281555513.jpg
Hyundai Grandeur 2013,4.950.000 ,Pikine,media/annonces/pics/035a4e01a25c5ea58383a10b9b05b24a.jpeg
FORD EXPLORER,10.500.000 ,Point E,media/annonces/pics/0f86ceee56855b10a4df2a048512a888.jpg
NISSAN QASHQAI,4.100.000 ,Point E,media/annonces/pics/116ccd2f85a7355270c7e5f1312861f2.jpg
HYUNDAI SONATA,5.000.000 ,Point E,media/annonces/pics/ee62e42e25d597d9ae77a5e270331f3e.jpg
FORD ESCAPE,1 ,Point E,media/annonces/pics/7ae851ec8ebdeee836d9e7471f2040ba.jpg
Hyundai  SANTAFE SPORT,10.500.000 ,Point E,media/annonces/pics/80ff8e8c9b4cf9e82ce6fe71ab5bbb89.jpg
FORD FUSION ECOBOOST,6.400.000 ,Point E,media/annonces/pics/9be808555e99deb97016e38c57d30642.jpg
CITROËN C4,3.000.000 ,Point E,media/annonces/pics/c0c3a3c4481a31cfb6dd7ccd53e7265a.png
RANGER ROVER SPORT,25.000.000 ,Point E,media/annonces/pics/3ea1208468e8280021511f346f85fd20.jpg
TOYOTA HIACE,11.000.000 ,Point E,media/annonces/pics/4835cba6e87fcb5302a63951c27a72ce.png
Peugeot 308 année 2015,5.000.000 ,Parcelles assainies,media/annonces/pics/bd0d459bff60dbcbf6474819acba6af7.jpeg
W5@ Pour  Essuie Glace et carrosserie,1.500 ,Guédiawaye,media/annonces/pics/1bc23b989ea877fd3dd8c2cb69c72339.jpg
Vente d'une moto Honda forza 250,550.000 ,Ziguinchor,media/annonces/pics/9be619c183561eee98f605fee19b1da9.jpg
Bateau  Ocqueteau Alienor 530,6.500.000 ,Saly,media/annonces/pics/33d6383e83e31067be8251de7d7dc96e.jpg
FORD FUSION,5.500.000 ,Point E,media/annonces/pics/b6cbd09334a69e2b317999bc044193f4.jpg
RANGER ROVER ROGUE,16.500.000 ,Point E,media/annonces/pics/47fc11bf9a3d819895fd1bdbdd61145a.jpg
KIA K5 SPORTRegarder du sport en direct en ligne,7.500.000 ,Point E,media/annonces/pics/9c3174ecb144d53eca6a3e0671f83070.jpg
KTM GT 1200 super duke 2017,2.500.000 ,Mamelles,media/annonces/pics/004a74290cbeb985b54f7be29b1c8602.jpg
Mitsubishi RVR 2013,5.900.000 ,Plateau,media/annonces/pics/104b20dc600a9152064e84c26cd1dc20.jpeg
Peugeot 308,3.300.000 ,Fass,img/nophoto.png
BMW X3 Xdrive 28i 2013 VENANT,10.450.000 ,Plateau,media/annonces/pics/ca88955331a86cb2c9fec242b7eb2941.jpeg
CHEVROLET CAPTIVA,6.000.000 ,Parcelles assainies,media/annonces/pics/59d42e1f07b249853deed898c6a66b65.jpg
Ford Edge Titanium 2015,14.500.000 ,Médina,media/annonces/pics/e72493207821ba094621d65bfafbe711.jpeg
KIA SORENTO,7.000.000 ,Point E,media/annonces/pics/0de22c2a71cb5afeecfba867994c7da2.jpg
FORD ESCAPE SEL,6.300.000 ,Point E,media/annonces/pics/cebfc609223263b425dbf3001efcd6c5.jpg
TOYOTA HIACE,16.000.000 ,Point E,media/annonces/pics/0f3f1ed25fe51bbf8c58260691e6ae9b.jpg
CITROEN DS4,6.500.000 ,Point E,media/annonces/pics/1ae1a615a59cf7dbd8a771b603d627c5.jpg
HYUNDAI VELOSTER TURBO,7.000.000 ,Point E,media/annonces/pics/206b8eb685c60de929fdb3131692b974.jpg
FORD FOCUS,3.250.000 ,Point E,media/annonces/pics/7b8710b41a3e9f2a892844d04c8357ad.jpg
Jaguar à vendre,1.500.000 ,Ouakam,media/annonces/pics/752290214b91157fb940167dcd7ce991.jpg
Kia Carnival,3.200.000 ,Keur Massar,media/annonces/pics/df1a973b6e20329d7b25a36556cf16d1.jpeg
NISSAN ALTIMA 2013,5.400.000 ,Parcelles assainies,media/annonces/pics/9afb7fe6fdc23a39272cb40ad45b256d.jpeg
Hyndai Tucson,4.950.000 ,Fass,media/annonces/pics/003db6e89cc224873c75b27774a68ae2.jpeg
Nissan Rogue,3.400.000 ,Virage,media/annonces/pics/4db0bfe46a6572d21a3cd0700c53abfd.jpeg
Hyndai Elantra,3.650.000 ,Colobane,media/annonces/pics/31c68ecd9ddeea7ecbba24909ae0fca9.jpeg
Peugeot 207,3.000.000 ,Dakar,media/annonces/pics/e9a96cad365488e2230f04cb7d02b0e2.jpeg
BMW F800 GS,2.000.000 ,Dakar,media/annonces/pics/6f920a13599a69bded78ad5fffce71a4.png
Peugeot 308,3.300.000 ,Dakar,media/annonces/pics/bf6cfc5188cc5ffa49cc7cda6cbc656c.jpeg
Vend Citroën DS4,4.750.000 ,Mermoz,media/annonces/pics/e73052b15608e4555b34f204adf53462.jpg
Ford Escape 2014,7.500.000 ,Cité Keur Gorgui,media/annonces/pics/ed3dc713071f46465f58eb40ef3713dc.jpeg
Peugeot 508,3.700.000 ,Grand Yoff,media/annonces/pics/b920430241837d8425132756f0daf0c2.jpeg
Liberty,370.000 ,HLM,media/annonces/pics/201d63e0ea7292f3a3bbb5c252c65aaf.jpeg
Mercedes GLA250 2015,16.000.000 ,Dakar,media/annonces/pics/4e1c488f3230acf819ce83b3979d25da.jpeg
Vélo électrique à vendre,1.000.000 ,Sacré Coeur,media/annonces/pics/16945f252647baa21af2d3a37200662f.jpeg
