Brand,Price,Address,image_link-src
Moto Kawazaki,950.000 ,Diamniadio,media/annonces/pics/b1b7bff1eb645a7939452b8dc2d6aeef.jpg
Moto Enduro Honda,1.200.000 ,Liberté 6,media/annonces/pics/1a98e31f3bc554b499bfab9c48d0fb21.jpg
Moto Atlantique,600.000 ,Mbao,media/annonces/pics/8d1681435eb681ccdd3a39014d7c67e3.jpeg
Recherche ma toute première moto,250.000 ,Mermoz,img/nophoto.png
Scooter,400.000 ,Liberté 6,media/annonces/pics/b21168cd68938a84d8a42c46ad5cb129.jpg
Yamaha Majesty 400 cm3,600.000 ,Dakar,media/annonces/pics/757c5d7fe3d41d4e6981ff4289ae4ff9.jpeg
Scooter x8,650.000 ,Grand Yoff,media/annonces/pics/d8cb64cacbe67da3ecf9947851df07e4.jpg
Scooter Piaggio Typhoon,130.000 ,Dakar,media/annonces/pics/a8d1b0eea9e72cae0bac9441e94aab97.jpeg
Xmax nouveau modèle,850 ,Dakar,media/annonces/pics/e0bf8a0962248cdc7e926760fb08878c.jpeg
Vespa Primavera,340.000 ,Guédiawaye,media/annonces/pics/46dd31d20d6cd1f8b3c2bdead0777844.jpg
Quad Juanshie 250,100 ,Thiaroye,img/nophoto.png
BMW 1200 GS,2.000.000 ,Rufisque,media/annonces/pics/95ac31b8f0b2c68e198704e55a476b86.jpg
Gilera Runner,375.000 ,Thiès,media/annonces/pics/5af8cb8892b78dfcb91399b4723c3a36.jpeg
Malaguti phantom,280.000 ,Thiès,media/annonces/pics/88525491957306898a4a56870ad9c3e6.jpeg
JAKARTA YAMAHA NOUVEAU MODELE,350.000 ,Colobane,media/annonces/pics/c16c65e3533f0ab3e1e32db755b958f8.jpeg
Vente de Majesty 400 neuf,900.000 ,Amitié,media/annonces/pics/998dd79361eaebce0aa28fda821ce54d.jpg
TMAX 560 2020,5.500.000 ,Mermoz,media/annonces/pics/0ba2b089525be847ea1479a338732aba.jpeg
Piaggio Fly 4t 50,300.000 ,Guédiawaye,media/annonces/pics/c734cdef3b118f84c5d2fd33bfb30619.jpg
Sym citycom 300i,850.000 ,Rufisque,img/nophoto.png
Vends scooter,450.000 ,Parcelles assainies,media/annonces/pics/9c41df0c588e282fc417e5aa172fb976.jpeg
Typhoon nouveau modèle,275.000 ,Guédiawaye,media/annonces/pics/2ac2a66480275615046ce8420e745d88.jpg
Runner VXR 200,500.000 ,Guédiawaye,media/annonces/pics/797720a59e52931e85be1d748afeb701.jpg
Piaggio Liberty 50,275.000 ,Guédiawaye,media/annonces/pics/8dd9c8b2ec673e349c6fca9caab409a2.jpg
Tricycle 150CC /170 Cm,1.270.000 ,Sacré Coeur,media/annonces/pics/654b14c67dd2516f99f72a36b3c7623c.jpg
Moto Honda SH,650.000 ,Thiès,media/annonces/pics/5138e8ca722a631c190d15085c68ad60.jpg
Magesty 400 nouveau modèle,900.000 ,Castors,media/annonces/pics/6ff74ccc430bc37dadf0969b07f5e56c.jpg
Liberty 4t 50cc,290.000 ,Golf,media/annonces/pics/462137887b669b5421180bdfd78c9774.jpg
Vente d'une  moto Honda forza 250,550.000 ,Ziguinchor,media/annonces/pics/9be619c183561eee98f605fee19b1da9.jpg
BMW F800 GS,2.000.000 ,Dakar,media/annonces/pics/caacb52fe71e30ac10239b1b55b2488b.png
Liberty,370.000 ,HLM,media/annonces/pics/201d63e0ea7292f3a3bbb5c252c65aaf.jpeg
Av Ette Piaggio 125,200.000 ,Golf,media/annonces/pics/c61c507b92dabe0f877674cd36f8d0c7.jpg
Moto Versa,550.000 ,Guédiawaye,media/annonces/pics/20d3b533954f826ad5de2f070c983fe7.jpeg
Moto Jakarta KTM,350.000 ,Keur Massar,media/annonces/pics/93f0d333a19f35fff349af5b743ed211.jpeg
Scooter Versa,500.000 ,Pikine,media/annonces/pics/251ba691b187059c34d99529734a3cb6.jpeg
Mbk Rocket 80cc,275.000 ,Dakar,media/annonces/pics/909215e72436a78e3c9b8b178f2ea85f.jpeg
