web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,Brand,Price,Adress,image_link-src
"1732654952-30","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location Ford Focus","https://www.dakarvente.com/annonce-9494-location-ford-focus.html","Location Ford Focus","25.000  FCFA","Parcelles assainies","media/annonces/pics/83f66fde220622bf834c628664665ace.jpeg"
"1732654956-31","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Ford Transit utilitaire Van R.A.S","https://www.dakarvente.com/annonce-9536-ford-transit-utilitaire-van-ras.html","Ford Transit utilitaire  Van R.A.S","3.800.000  FCFA","Dakar","media/annonces/pics/4181c7c4000153ee213588aa613044d8.jpg"
"1732654960-32","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location voiture","https://www.dakarvente.com/annonce-9628-location-voiture.html","Location voiture","1  FCFA","Point E","media/annonces/pics/861fa614aaf58719664d5a9420320a77.jpg"
"1732654964-33","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","location d'une camionnette","https://www.dakarvente.com/annonce-9670-location-d-une-camionnette.html","location d'une camionnette","60.000  FCFA","Dakar","media/annonces/pics/71f159ec68baa919a2931af6e821eb3c.jpg"
"1732654969-34","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location Toyota Hiace High Roof","https://www.dakarvente.com/annonce-9722-location-toyota-hiace-high-roof.html","Location  Toyota Hiace High RoofLogements de qualité à louer","50.000  FCFA","Dakar","media/annonces/pics/46c969c80e17724a6d0399e1e94ef6ef.jpg"
"1732654973-35","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture","https://www.dakarvente.com/annonce-10567-location-de-voiture.html","Location de voitureLogements de qualité à louerConcessionnaires automobiles à proximité","","Dakar","media/annonces/pics/3ee330d5f03181485a3cea5833e69242.jpg"
"1732654977-36","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Chambre meublée à louer","https://www.dakarvente.com/annonce-10575-chambre-meuble-louer.html","Chambre meublée à louer","30.000  FCFA","Liberté 6","media/annonces/pics/dadf6b0582d4ace089af9ac77be24898.jpg"
"1732654981-37","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Voiture à louer","https://www.dakarvente.com/annonce-10576-voiture-louer.html","Voiture à louer","30.000  FCFA","Liberté 6","media/annonces/pics/09d53647984c3d7f0b764258a2e97587.jpg"
"1732654985-38","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location auto Toyota pickup 4X4","https://www.dakarvente.com/annonce-10844-location-auto-toyota-pickup-4x4.html","Location auto Toyota pickup 4X4","35.000  FCFA","Nord Foire","media/annonces/pics/b6eef12e28d39593f5a2837483abf41d.jpg"
"1732654989-39","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Voiture à louer","https://www.dakarvente.com/annonce-10857-voiture-louer.html","Voiture à louerConcessionnaires automobiles à proximité","35.000  FCFA","Liberté 6","media/annonces/pics/cb2af9475592721e24c6bd8e23b26247.jpg"
"1732654993-40","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location véhicule + chauffeur","https://www.dakarvente.com/annonce-10977-location-vhicule-chauffeur.html","Location véhicule + chauffeur","30.000  FCFA","Castors","media/annonces/pics/c85b445746abba358fa397ad3bbdde95.jpg"
"1732654996-41","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location véhicule + chauffeur","https://www.dakarvente.com/annonce-10997-location-vhicule-chauffeur.html","Location véhicule + chauffeur","30.000  FCFA","Castors","media/annonces/pics/50b558537b42d2d0b28e38ae40269c34.jpg"
"1732655001-42","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location minibus Toyota Hiace 14 places","https://www.dakarvente.com/annonce-11119-location-minibus-toyota-hiace-14-places.html","Location minibus  Toyota Hiace 14 placesLogements de qualité à louer","50.000  FCFA","Yoff","media/annonces/pics/b07d34237b2718ac1eb59ab80101e1a9.jpg"
"1732655005-43","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","location de voitures","https://www.dakarvente.com/annonce-11781-location-de-voitures.html","location de voitures","1  FCFA","Point E","media/annonces/pics/16f99acb79687cd246852ada73ba4923.jpg"
"1732655009-44","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture avec chauffeur","https://www.dakarvente.com/annonce-11866-location-de-voiture-avec-chauffeur.html","Location de voiture avec chauffeur Logements de qualité à louerConcessionnaires automobiles à proximité","20.000  FCFA","Almadies","media/annonces/pics/5b40864ad382a50047d99be0f0f4e422.jpg"
"1732655013-45","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location & vente de voiture","https://www.dakarvente.com/annonce-11923-location-vente-de-voiture.html","Location & vente de voitureLogements de qualité à louerConcessionnaires automobiles à proximité","1  FCFA","Point E","media/annonces/pics/ab9bad02ee17f90c58479e4407eef6fc.jpg"
